Stock,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion
600167,2014-01-02,2025-07-04,4201 days,97.8539156626506,1581.5535624999934,16951.77293,790.5697499999998,-84.18446437500006,95.09516837481698,-16.052171450798824,28.628558499653067,-10.472496709366219,-0.5607048448140813,-0.6561225373838854,-0.1770389601873522,-86.76274218415531,0.027112605752933616,-90.67027638329749,-11.7360525032885,3732 days,318 days,104,36.53846153846153,42.54291845493563,-22.64744429882044,-1.582216178831064,227 days,40 days,0.7455289035660602,-1.088168179802453,-0.9394522188078389,-0.1537000936375456
600645,2014-01-02,2025-07-04,4201 days,98.52156057494867,483.1378074999965,13467.678604999997,308.9131350000002,-95.16862192500004,7.4395787389171435,-26.917480603940025,31.68454903685855,-16.61977629965544,-0.8495459592190185,-0.8950947102447684,-0.27919044907616836,-95.37336453193593,0.027520725853046976,-96.41261258402301,-14.098740410755914,3850 days,375 days,94,37.234042553191486,27.96784396415393,-35.017535104864095,-3.289387257170351,215 days,44 days,0.5465356528220741,-2.62466320716143,-1.6500492278414318,-0.5139322526032046
300199,2014-01-02,2025-07-04,4201 days,97.76768823306848,51325.50656000004,97015.89856500002,3793.2618899999998,413.25506560000036,71.78789938817131,16.87660122387351,86.40039835431426,10.308721093826057,0.19533013209806346,0.409357718179654,0.21269078820841233,405.9471056400694,0.10179932860850778,-79.34805905809328,-18.71525413422286,1051 days,115 days,83,54.21686746987952,144.12489728841416,-43.54325973021738,1.990610630987244,143 days,48 days,1.7498876976280573,4.099625412644039,0.7141891084032344,0.11077681103782466
688627,2023-07-18,2025-07-04,717 days,94.74789915966386,4154.133729999999,13349.1215075,203.17803,-58.458662700000005,12.258485639686684,-37.19140564639981,40.77893223976054,-26.563925283605315,-0.9120249992749245,-0.8733507815892071,-0.5356599899432216,-58.0701737281284,-0.031691432636171225,-69.43099418409426,-18.76852404707918,469 days,86 days,17,35.294117647058826,58.835301180708434,-27.931387608806958,-4.581326943079988,91 days,41 days,0.747459477896522,-2.415798121405538,-0.8189004926870384,-0.23583010178952274
000530,2014-01-02,2025-07-04,4201 days,98.77653832313781,3196.789407499997,15249.344394999996,1087.4289675000005,-68.03210592500002,51.33513351335134,-9.82473689988047,36.00784690195145,-6.612249257864377,-0.27284988537729027,-0.3670360296191594,-0.11806160137803956,-75.30736633957586,0.1417208823014685,-83.2170391152085,-12.581509109853176,3649 days,295 days,103,39.80582524271845,77.66633233032432,-30.080507440839234,-0.9941743600618391,123 days,41 days,0.9872030034416427,-0.062105155829405255,-0.6388246984257271,-0.07592238841981275
300971,2021-04-15,2025-07-04,1541 days,95.6989247311828,1297.037569999995,13297.850575,418.22499000000016,-87.02962430000005,-21.011931064958016,-39.53698783443562,31.385013887760984,-28.395391252189473,-1.2597409698726822,-1.05844997003951,-0.43567024022583317,-89.11573710195604,-0.09928229801948275,-90.7498015332452,-21.288906212230486,1404 days,246 days,39,35.8974358974359,29.469548133595282,-38.271604938271594,-5.038254161302791,80 days,38 days,0.3731828593347778,-4.248675614403523,-1.7250862405623077,-0.3988067190182066
688120,2022-06-08,2025-07-04,1122 days,94.51137884872824,2569.225577500002,10000.0,194.56352249999998,-74.30774422499998,66.4970995091477,-36.77379135419257,32.67799621757009,-26.304288923750917,-1.125338013669892,-1.0028293790629816,-0.4535749925162532,-62.45449063765331,-0.17825218956679573,-81.07543837499998,-81.07543837499998,1080 days,1080 days,23,34.78260869565217,40.071999999999996,-48.75632160181649,-5.9688685590013275,147 days,47 days,0.4643237142523192,-4.445885451703361,-1.536571846943343,-0.5416484101354582
831087,2014-11-28,2025-07-04,3871 days,1.2534818941504178,0.0,12556.6075,32.592375000000004,-100.0,330.722891566265,0.0,8.054718415186448e+53,-100.0,0.0,0.0,0.0,,,-100.0,-96.65746250000001,3615 days,1867 days,1,0.0,-235.0,-235.0,0.0,124 days,124 days,0.0,-235.0,,
605168,2020-05-28,2025-07-04,1863 days,94.02261712439419,11342.508247499998,17179.262152499996,666.2768474999998,13.42508247499998,30.91992209875128,2.597378340961609,49.483636743403444,1.7185744913187584,0.05248964126121672,0.08124202645168901,0.04936459872316683,14.944765327558748,-0.04914898710628194,-52.61621502339202,-9.49843672797993,1370 days,95 days,41,56.09756097560976,34.06190406337098,-32.63295553618133,0.1396938188404695,115 days,43 days,1.247027837023479,1.3763940055651114,0.04801632877431046,-0.021615257877265037
002827,2016-12-09,2025-07-04,3129 days,97.59615384615384,822.0976725000023,15755.551135000002,596.7019649999999,-91.77902327499999,345.9915611814346,-26.117973557536946,36.085750131675844,-18.226745608612372,-0.7237752703555621,-0.7701862251403102,-0.27442551262655857,-140.50280809454867,0.1408236219784517,-95.17327054455971,-21.780081543362403,2909 days,512 days,85,34.11764705882353,52.28723404255318,-53.86221294363256,-2.839796983059817,105 days,36 days,0.658667557085372,-1.8786438682608468,-1.4664912233507394,-0.22003538707115855
603676,2017-07-21,2025-07-04,2905 days,98.34282755049198,509.97183250000404,10000.0,345.10593749999987,-94.90028167499996,75.6281407035176,-32.18406314693032,32.151907813453434,-22.75266153813198,-1.0010001065461949,-0.9574660793603214,-0.3391355913689424,-100.44445535638498,0.07330834302960917,-94.90028167499996,-94.90028167499996,2877 days,2877 days,74,33.78378378378378,25.047348484848484,-36.97142857142857,-3.5198057819846973,88 days,39 days,0.5181756312811475,-2.810442540219784,-1.895862847572706,-0.4518689807795677
002742,2015-02-17,2025-07-04,3790 days,97.86447638603696,803.1787749999969,10785.7702,309.42627750000014,-91.96821225000004,-17.11558131605864,-22.97030382341334,36.92867819090889,-15.437049673711801,-0.6220180344572467,-0.6907719923987408,-0.23900506526812515,-89.88878312181743,0.12149333930198392,-96.10802096451121,-53.052399482255595,3740 days,1877 days,85,40.0,61.37892376681613,-39.77119784656797,-2.9804289557479824,147 days,44 days,0.7559243720270855,-1.6440677173047042,-1.4998254344379982,-0.4225405540069851
003029,2020-12-24,2025-07-04,1653 days,93.88686131386861,9972.209230000008,15290.06283,494.77306500000003,-0.2779076999999234,80.16019716574245,-0.06396697242162519,63.325279953170266,-0.04241703546561393,-0.001010133274877418,-0.0016199988449522842,-0.0008472514170164008,-14.605208897336356,0.17873335775001561,-75.49939856918166,-19.654098315136427,1542 days,270 days,41,41.46341463414634,36.6895499618612,-24.50980392156863,-0.6226927921474057,90 days,38 days,1.0561778565026967,0.29180683266821905,-0.3388419985847431,-0.0601298549934528
688012,2019-07-22,2025-07-04,2174 days,98.13019390581718,27247.491232499975,48157.0986975,1798.0865175000001,172.47491232499974,123.9294088609157,19.116276834220148,73.83540390112991,12.321018254466033,0.25890393800537753,0.5039788937729506,0.2663502619993838,170.23356143699118,0.01808570627916095,-71.77119590843269,-11.696224482385723,1872 days,118 days,47,46.808510638297875,189.37384110683212,-35.072225645238596,2.323166302183144,110 days,46 days,1.9222869153487963,5.587534753045774,0.545726081778325,0.09208945095636079
300674,2018-11-07,2025-07-04,2431 days,96.78018575851394,2050.8133125000004,11908.98175,227.50670999999988,-79.491866875,295.43189368770766,-21.902899022836365,44.811921950927804,-15.145760887887116,-0.4887739259838392,-0.5866068779298887,-0.23327891752366103,-97.43117200388517,0.06072230355686742,-93.89146372652726,-35.63437421585245,2374 days,796 days,61,36.0655737704918,95.94017094017096,-42.198581560283685,-2.6040138837187587,118 days,39 days,0.8421222793770833,-1.0506778155244276,-1.6898968934396272,-0.49314813313578315
000932,2014-01-02,2025-07-04,4201 days,98.74620060790274,31230.318822499972,47108.973009999965,2795.5821374999996,212.30318822499973,247.42857142857142,11.52007717145478,41.56142845674695,7.069930649065159,0.2771819352514253,0.46922574094018765,0.1810458867257324,194.59863743157413,0.07155418911892561,-63.630703684014755,-10.330369165520883,1644 days,124 days,89,43.82022471910113,80.93699515347332,-22.33273056057865,1.430750385191204,188 days,47 days,1.652224383159497,2.250720724820042,1.0364781783397594,0.09886877409335243
