params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'n_len': 25, 'atr_multiplier': 1.5}",5402,171249.0000,0.0486,15.3912,-28.3138,12.0973,115391.2139,137792.9828,4900.1398,46.6353,2.4416,19.5482,1.4653,0.5032,0.4195,8.4733,0.1357,-14.0073,44.4567,23.3447,-9.5696,0.3121,1.4112,0.5620,0.0977,-0.0981,0.0214,0.0214
"{'n_len': 40, 'atr_multiplier': 1.0}",5402,171792.0000,0.0469,13.1395,-26.8738,12.2227,113139.4527,133585.4856,4912.4998,36.7859,2.0298,17.9090,1.2365,0.3032,0.1945,8.8813,0.1182,-12.6644,45.8467,21.3567,-9.1861,0.2707,1.3841,0.4833,0.1120,-0.5698,0.0405,0.0405
"{'n_len': 30, 'atr_multiplier': 1.5}",5402,165142.0000,0.0466,14.2608,-27.8082,11.6658,114260.8094,135983.5508,4699.5943,37.0139,2.1792,18.8677,1.3180,0.3010,0.1921,9.1276,0.1288,-13.6187,44.7686,22.5804,-9.3314,0.3017,1.4150,0.5438,0.0875,-0.0848,0.0214,0.0214
"{'n_len': 15, 'atr_multiplier': 2.5}",5402,64742.0000,0.0440,10.9549,-22.4712,4.4203,110954.9254,130700.4541,1874.6971,39.2786,1.7675,16.4778,1.0742,0.3873,0.2496,5.7625,0.0970,-13.3528,42.6245,20.8118,-8.8846,0.5765,1.8967,0.9833,-0.0241,-0.1061,,
"{'n_len': 10, 'atr_multiplier': 3.0}",5402,23078.0000,0.0367,7.2942,-16.0412,1.5517,107294.2052,122718.2601,671.5614,39.1827,1.2233,12.5138,0.7521,2.0989,1.1866,3.9356,0.0591,-11.5076,45.2066,14.6602,-6.3049,1.6273,3.4108,2.0880,-0.5822,-1.2139,,
"{'n_len': 15, 'atr_multiplier': 2.0}",5402,104902.0000,0.0356,12.4180,-26.1613,7.2546,112417.9942,134316.8778,3021.0242,39.2786,1.9217,18.5576,1.1371,inf,0.2175,6.2693,0.1205,-14.4103,42.2526,23.3171,-9.4776,0.3639,1.5028,0.7139,0.0225,-0.0506,0.0093,0.0093
"{'n_len': 25, 'atr_multiplier': 2.0}",5402,129193.0000,0.0346,13.0341,-26.9485,9.0367,113034.0690,135073.6724,3702.1441,46.6353,1.9722,18.5999,1.1627,0.2850,0.1894,6.3593,0.1243,-14.2323,43.4816,22.7246,-9.3703,0.3324,1.4696,0.6256,0.0410,-0.0502,,
"{'n_len': 20, 'atr_multiplier': 2.0}",5402,121040.0000,0.0327,13.1266,-26.8646,8.4389,113126.6050,135291.7481,3477.0207,41.3828,1.9967,18.7481,1.1670,0.2827,0.1886,6.8814,0.1245,-14.3667,42.8599,22.9173,-9.3809,0.3450,1.4451,0.6572,0.0226,-0.0573,,
"{'n_len': 20, 'atr_multiplier': 1.5}",5402,173360.0000,0.0316,15.0047,-29.3939,12.2321,115004.6505,138303.3113,4942.0932,41.3828,2.2181,20.0139,1.3044,0.2787,0.1960,8.4061,0.1419,-14.4059,43.6693,24.0275,-9.7404,0.2643,1.3658,0.5270,0.0519,-0.0651,,
"{'n_len': 35, 'atr_multiplier': 1.5}",5402,158632.0000,0.0297,12.3367,-27.3701,11.1925,112336.7137,133486.3832,4482.3647,36.0981,1.7691,18.3044,1.0659,0.2699,0.1776,7.6208,0.1234,-13.7140,44.5490,21.9686,-9.2560,0.2634,1.4013,0.5023,0.0547,-0.1937,0.0405,0.0405
"{'n_len': 5, 'atr_multiplier': 2.0}",5402,20000.0000,0.0284,6.7703,-14.8873,1.3638,106770.2547,121150.0925,587.5973,42.2180,1.1457,11.7974,0.7201,2.4941,1.3985,3.5060,0.0532,-11.0563,44.4833,13.2969,-5.6112,1.6564,5.3455,2.0900,-0.3823,-1.7241,,
"{'n_len': 15, 'atr_multiplier': 3.0}",5402,40846.0000,0.0246,8.4792,-19.6406,2.7538,108479.2115,126471.0771,1181.1231,39.2786,1.2545,14.4861,0.7566,0.5647,0.3678,4.1866,0.0775,-12.7331,42.7994,18.0088,-8.2271,0.7931,2.5539,1.2402,-0.2055,-0.3375,,
"{'n_len': 45, 'atr_multiplier': 1.0}",5402,163398.0000,0.0240,11.2880,-26.6348,11.6254,111288.0380,131850.9359,4648.8440,38.2351,1.5825,17.4004,0.9465,0.4160,0.4443,7.0401,0.1129,-12.8327,45.3944,20.7377,-9.1493,0.2353,1.3797,0.4455,0.0541,-0.5224,0.0061,0.0061
"{'n_len': 20, 'atr_multiplier': 2.5}",5402,81898.0000,0.0223,11.0402,-24.1215,5.6389,111040.2005,131984.5245,2368.6116,41.3828,1.5849,17.1264,0.9272,0.3647,0.2746,5.4870,0.1058,-13.9195,42.3009,21.0959,-9.0744,0.3941,1.6909,0.7518,-0.0080,-0.1237,,
"{'n_len': 25, 'atr_multiplier': 2.5}",5402,93755.0000,0.0168,11.0026,-25.1802,6.4765,111002.6306,132653.5224,2700.2472,46.6353,1.5980,17.4385,0.9137,inf,0.4049,4.8305,0.1101,-14.1797,42.6836,21.2803,-9.1044,0.3700,1.5749,0.7021,-0.0353,-0.0989,,
"{'n_len': 15, 'atr_multiplier': 1.0}",5402,243625.0000,0.0167,16.6600,-32.5480,17.3541,116660.0041,142736.0048,6947.7119,39.2786,2.4548,21.8528,1.4054,0.2970,0.2795,9.4950,0.1662,-14.8400,44.2256,25.3657,-10.1356,0.1936,1.2753,0.4248,0.0465,-0.4381,,
"{'n_len': 50, 'atr_multiplier': 1.0}",5402,156093.0000,0.0150,10.0554,-26.3448,11.0933,110055.4159,130601.1457,4432.1762,34.9230,1.3769,17.0171,0.8108,0.4140,0.4622,6.3406,0.1088,-12.8433,45.1922,20.1757,-9.0592,0.2190,1.3763,0.4282,0.0305,-0.3783,0.0007,0.0007
"{'n_len': 30, 'atr_multiplier': 2.0}",5402,131410.0000,0.0128,11.3135,-27.0192,9.2026,111313.4883,133149.1751,3722.1613,37.0139,1.6258,18.2953,0.9338,0.2500,0.1820,6.1959,0.1217,-14.2310,43.4086,21.7915,-9.2413,0.2738,1.4277,0.5474,-0.0118,-0.1052,,
"{'n_len': 15, 'atr_multiplier': 1.5}",5402,167456.0000,0.0114,13.9847,-30.2647,11.7556,113984.7103,138510.8510,4772.4664,39.2786,1.9151,20.4449,1.0960,inf,0.1741,7.0931,0.1461,-15.2281,42.5582,25.1424,-9.9021,0.2140,1.3351,0.5005,0.0063,-0.3706,,
"{'n_len': 55, 'atr_multiplier': 1.0}",5402,149740.0000,0.0098,9.3489,-25.9520,10.6302,109348.8998,129719.7655,4244.3150,35.5634,1.2628,16.7502,0.7318,0.2720,0.2171,5.6881,0.1052,-12.7580,45.3605,19.8038,-9.1085,0.2238,1.3934,0.4343,0.0104,-0.2516,,
"{'n_len': 40, 'atr_multiplier': 1.5}",5402,152604.0000,0.0097,10.3240,-27.2343,10.7674,110324.0381,131448.5794,4307.1691,36.7859,1.3523,17.7892,0.8067,0.2291,0.1538,5.8184,0.1183,-13.7066,44.3172,21.1713,-9.1397,0.2143,1.3710,0.4478,0.0094,-0.2583,0.0405,0.0405
"{'n_len': 45, 'atr_multiplier': 1.5}",5402,146610.0000,0.0015,9.5414,-26.8046,10.3426,109541.3515,130422.1354,4128.3570,38.2351,1.2202,17.4239,0.7030,0.2722,0.2359,5.0472,0.1139,-13.7134,44.3087,20.6447,-9.0863,0.2074,1.4026,0.4401,-0.0152,-0.3918,0.0405,0.0405
"{'n_len': 35, 'atr_multiplier': 2.0}",5402,130553.0000,0.0003,10.0444,-26.8695,9.1356,110044.3669,131831.5592,3675.3847,36.0981,1.2964,17.8766,0.7357,0.2316,0.1784,5.3255,0.1183,-14.4015,43.5650,21.1183,-9.1559,0.2464,1.4364,0.5105,-0.0344,-0.0651,,
"{'n_len': 55, 'atr_multiplier': 1.5}",5402,135528.0000,-0.0006,8.5709,-25.9286,9.5547,108570.8708,129040.0012,3820.4696,35.5634,1.0958,16.7785,0.6182,inf,0.4354,4.6541,0.1065,-13.3738,44.7282,19.7294,-8.9556,0.2262,1.4011,0.4555,-0.0685,-0.0579,0.0007,0.0007
"{'n_len': 50, 'atr_multiplier': 1.5}",5402,140686.0000,-0.0021,8.8889,-26.3548,9.9220,108888.8677,129628.1119,3960.7008,34.9230,1.1268,17.0915,0.6394,0.3393,0.3936,4.9541,0.1100,-13.5761,44.4292,20.1170,-8.9941,0.2142,1.3761,0.4434,-0.0154,-0.0744,0.0061,0.0061
"{'n_len': 20, 'atr_multiplier': 3.0}",5402,55441.0000,-0.0066,7.6682,-21.9381,3.7641,107668.1999,127220.7114,1593.7760,41.3828,0.9923,15.4368,0.5630,inf,0.2343,2.7842,0.0881,-13.6261,41.4507,18.9473,-8.7728,0.3941,1.8323,0.7973,-0.2111,-0.2536,,
