params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'di_length': 15, 'adx_threshold': 20, 'di_diff_threshold': 10}",5402,2703.0000,-0.1724,0.5217,-1.8761,0.3051,100521.6921,102348.1422,192.5485,29.9989,0.1856,1.9667,0.1150,10.3951,6.9264,0.3975,0.0060,-4.4334,40.9220,2.1770,0.1412,1.0611,1.4354,1.1072,-63.3721,-17.5833,,
"{'di_length': 25, 'adx_threshold': 25, 'di_diff_threshold': 5}",5402,956.0000,-0.1770,0.2627,-0.8344,0.1061,100262.7458,101115.3369,163.4788,29.9989,0.0906,0.8960,0.0566,14.5265,9.4889,0.2518,0.0033,-4.9064,40.8079,1.8792,1.1635,1.4884,0.1895,1.5079,2.4980,-1.3106,,
"{'di_length': 10, 'adx_threshold': 30, 'di_diff_threshold': 20}",5402,890.0000,-0.1800,0.1235,-0.6136,0.0993,100123.5399,100706.1564,165.9081,29.9989,0.0396,0.6419,0.0237,8.8267,5.8353,0.0635,0.0016,-3.8625,41.5841,1.1203,0.2645,0.6618,0.3342,0.6857,-12.1663,-0.7349,0.0007,0.0007
"{'di_length': 25, 'adx_threshold': 25, 'di_diff_threshold': 10}",5402,177.0000,-0.1833,0.0764,-0.1875,0.0194,100076.3915,100273.3987,153.4001,29.9989,0.0265,0.2170,0.0166,18.9060,11.9441,0.0629,0.0008,-5.6962,35.7143,2.3957,2.3545,2.3748,0.0024,2.3751,-1.0111,-1.4648,,
"{'di_length': 20, 'adx_threshold': 25, 'di_diff_threshold': 5}",5402,2002.0000,-0.1851,0.4507,-1.4829,0.2222,100450.6771,101917.6563,176.1219,29.9989,0.1561,1.5721,0.0973,12.5338,8.2624,0.3711,0.0053,-4.4321,40.0701,1.9806,0.6944,1.2897,1.0973,1.3178,-3.4451,-0.9571,0.0007,0.0007
"{'di_length': 15, 'adx_threshold': 30, 'di_diff_threshold': 10}",5402,931.0000,-0.1860,0.2324,-0.7294,0.1030,100232.4053,100969.1066,165.4678,29.9989,0.0877,0.8011,0.0550,12.3306,8.0950,0.1930,0.0027,-4.4364,39.5563,1.7465,0.8894,1.2730,0.4917,1.2964,-4.5831,-0.8261,,
"{'di_length': 10, 'adx_threshold': 25, 'di_diff_threshold': 20}",5402,1371.0000,-0.1860,0.1590,-0.9314,0.1525,100158.9750,101045.4129,173.9436,29.9989,0.0466,0.9540,0.0273,8.9889,5.9376,0.0862,0.0024,-3.9757,40.9001,1.1890,0.0155,0.5602,0.5775,0.5883,-8.2710,-1.5281,0.0093,0.0093
"{'di_length': 25, 'adx_threshold': 20, 'di_diff_threshold': 5}",5402,1855.0000,-0.1871,0.3993,-1.4956,0.2064,100399.3458,101911.4007,174.1769,29.9989,0.1375,1.5588,0.0856,inf,6.8294,0.3449,0.0055,-4.7683,39.8142,1.8334,0.5552,1.1492,0.4882,1.1855,-5.2855,-10.6778,0.0007,0.0007
"{'di_length': 25, 'adx_threshold': 30, 'di_diff_threshold': 5}",5402,438.0000,-0.1906,0.0913,-0.4187,0.0482,100091.3285,100522.0434,157.7613,29.9989,0.0302,0.4303,0.0185,14.4054,9.6192,0.0830,0.0017,-5.2396,39.2601,1.3060,0.8747,1.0755,0.1499,1.0903,19.9611,-3.2569,,
"{'di_length': 30, 'adx_threshold': 20, 'di_diff_threshold': 5}",5402,1017.0000,-0.1918,0.1889,-0.9320,0.1112,100188.9240,101144.1432,162.9165,29.9989,0.0608,0.9734,0.0372,10.4879,6.8018,0.1767,0.0035,-5.1346,38.3758,1.3048,0.5219,0.8780,0.2364,0.9012,-18.4664,-1.7968,0.0162,0.0162
"{'di_length': 20, 'adx_threshold': 30, 'di_diff_threshold': 5}",5402,995.0000,-0.1941,0.2203,-0.7999,0.1093,100220.3129,101031.0799,160.0321,29.9989,0.0798,0.8564,0.0495,inf,9.5944,0.1900,0.0030,-4.4733,39.3099,1.4730,0.9985,1.2153,0.1652,1.2276,2.2970,-0.1295,0.0007,0.0007
"{'di_length': 15, 'adx_threshold': 25, 'di_diff_threshold': 10}",5402,1595.0000,-0.1948,0.3392,-1.1921,0.1787,100339.1679,101523.6627,174.2561,29.9989,0.1257,1.2837,0.0780,10.9495,7.2346,0.2682,0.0040,-4.4182,39.4247,1.7838,0.5322,1.1016,0.5127,1.1317,-5.1303,-1.1724,,
