params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'len_short': 15, 'len_mid': 50, 'len_long': 180, 'adx_len': 16, 'adx_threshold': 25}",5402,21077.0000,-0.1644,3.4910,-20.0633,7.4112,103490.9808,127112.3062,659.3625,24.9913,0.2682,11.8474,0.0401,inf,0.0211,-0.7110,0.0722,-12.3006,40.0638,14.9537,-7.1883,0.9378,3.0219,1.5616,-7.0740,-4.2835,0.0074,0.0074
"{'len_short': 10, 'len_mid': 60, 'len_long': 180, 'adx_len': 12, 'adx_threshold': 21}",5402,28071.0000,-0.1645,3.7152,-24.4034,10.6619,103715.1912,132644.5291,864.2646,24.9913,0.1370,15.2996,-0.0785,inf,0.0198,-2.1703,0.1037,-13.9299,40.6667,18.7837,-8.6212,0.9066,2.5945,1.6435,-2.5267,-3.8763,0.0140,0.0140
"{'len_short': 20, 'len_mid': 50, 'len_long': 180, 'adx_len': 16, 'adx_threshold': 25}",5402,21053.0000,-0.1645,3.4692,-20.0310,7.3964,103469.2221,127056.7472,658.9358,24.9913,0.2667,11.8298,0.0383,inf,0.0210,-0.7265,0.0721,-12.2984,40.0350,14.9414,-7.1691,0.9364,3.0900,1.5592,-7.0788,-4.2928,0.0074,0.0074
"{'len_short': 10, 'len_mid': 50, 'len_long': 180, 'adx_len': 14, 'adx_threshold': 23}",5402,25593.0000,-0.1645,3.5366,-22.3189,8.9204,103536.6107,129603.8398,789.4687,24.9913,0.1933,13.9934,-0.0234,inf,0.0220,-1.3418,0.0860,-13.1900,40.0759,16.9856,-8.0834,0.8743,3.0362,1.5496,-0.8615,-1.6944,0.0074,0.0074
"{'len_short': 20, 'len_mid': 40, 'len_long': 180, 'adx_len': 13, 'adx_threshold': 23}",5402,29022.0000,-0.1647,3.4981,-22.5987,9.0607,103498.0801,129153.8587,887.3081,24.9913,0.1372,13.1666,-0.0550,inf,0.0236,-1.2088,0.0858,-13.4030,39.9871,17.4335,-8.5033,0.7337,8.9021,1.3893,-3.6844,-2.8449,0.0095,0.0095
"{'len_short': 15, 'len_mid': 30, 'len_long': 180, 'adx_len': 15, 'adx_threshold': 23}",5402,30964.0000,-0.1647,3.3885,-22.0079,8.4717,103388.4783,127837.2323,941.7077,24.9913,0.0988,12.7150,-0.0789,inf,0.0232,-0.9612,0.0793,-13.1710,39.4778,17.4994,-8.5978,0.6183,7.1682,1.2710,-0.5556,-13.9667,0.0115,0.0115
"{'len_short': 10, 'len_mid': 50, 'len_long': 180, 'adx_len': 16, 'adx_threshold': 25}",5402,21080.0000,-0.1648,3.4590,-20.0655,7.4104,103459.0429,127117.8641,659.4558,24.9913,0.2585,11.8345,0.0365,inf,0.0204,-0.7408,0.0721,-12.3145,39.9911,14.9818,-7.2159,0.9134,4.3699,1.5393,-7.0665,-4.3063,0.0074,0.0074
"{'len_short': 5, 'len_mid': 30, 'len_long': 180, 'adx_len': 15, 'adx_threshold': 21}",5402,33756.0000,-0.1649,3.2606,-22.9994,9.2121,103260.6455,128633.6228,1022.0201,24.9913,0.0302,13.2287,-0.1252,inf,0.0224,-1.3408,0.0858,-13.4725,39.5331,18.1642,-8.8995,0.5882,7.3172,1.2396,-0.6374,-18.8833,0.0091,0.0091
"{'len_short': 5, 'len_mid': 40, 'len_long': 180, 'adx_len': 15, 'adx_threshold': 23}",5402,27125.0000,-0.1649,3.4835,-21.7898,8.4648,103483.4811,128373.7071,830.5273,24.9913,0.1485,12.7177,-0.0402,inf,0.0224,-0.9492,0.0805,-13.0884,39.8039,16.7307,-8.2728,0.6949,9.0066,1.3357,-0.4940,-6.8784,0.0110,0.0110
"{'len_short': 15, 'len_mid': 60, 'len_long': 180, 'adx_len': 16, 'adx_threshold': 21}",5402,24005.0000,-0.1650,3.6580,-22.4790,9.1598,103657.9682,130400.8212,744.9097,24.9913,0.2099,13.3501,-0.0147,inf,0.0190,-1.5205,0.0900,-13.3192,40.3399,17.0303,-7.9112,0.9841,3.0160,1.6774,-1.3536,-4.0234,0.0140,0.0140
