params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'n_len': 50, 'atr_multiplier': 4.0}",5402,12700.0000,-0.1870,-1.9680,-54.5642,36.9235,98031.9875,168615.7912,315.6515,34.9230,-3.0728,38.3906,-2.5497,-0.1672,-0.0278,-27.7281,0.5459,-23.9294,21.2447,6.3219,-22.1225,-11.0470,0.6343,-9.2844,-3.8949,-3.2638,0.0405,0.0405
"{'n_len': 20, 'atr_multiplier': 3.5}",5402,11128.0000,-0.1872,-2.1398,-55.4223,44.0301,97860.1592,174505.9729,274.9983,41.3828,-3.3604,40.9454,-2.7542,-0.1631,-0.0272,-35.1126,0.5990,-24.4748,22.9661,5.8356,-23.1228,-11.6665,0.7250,-9.5674,-4.3134,-4.8081,,
"{'n_len': 40, 'atr_multiplier': 4.0}",5402,11964.0000,-0.1893,-2.6469,-55.1939,39.6666,97353.0957,170293.5429,294.4746,36.7859,-3.3341,39.3070,-2.7261,-0.1714,-0.0321,-30.5613,0.5702,-24.0923,21.0250,4.9253,-22.4844,-11.6218,1.6343,-9.8539,-4.0981,-4.3775,0.0149,0.0149
"{'n_len': 45, 'atr_multiplier': 4.0}",5402,12480.0000,-0.1911,-2.2899,-54.9458,38.3880,97710.0944,169694.0573,307.6365,38.2351,-3.2453,38.8310,-2.6782,-0.1712,-0.0290,-30.7254,0.5571,-24.0403,21.2794,5.9995,-22.2226,-11.1644,1.0230,-9.3763,-3.9080,-7.2697,0.0405,0.0405
"{'n_len': 20, 'atr_multiplier': 2.0}",5402,45012.0000,-0.1912,-1.6918,-54.8441,44.5324,98308.2298,175624.8675,1169.1671,41.3828,-3.3927,4646.6956,-2.6573,-0.1682,-0.0323,-29.9152,0.5489,-21.9160,31.8540,41.7145,-19.7652,-2.3095,1.2669,-0.1689,-0.8307,-0.7674,,
"{'n_len': 15, 'atr_multiplier': 2.0}",5402,41567.0000,-0.1922,-1.7589,-55.7242,46.7713,98241.0645,177339.8873,1072.1079,39.2786,-3.1942,5147.1076,-2.6303,inf,-0.0236,-29.9056,0.5690,-21.8665,31.7464,41.3025,-20.3241,-2.4960,1.2994,-0.2255,-0.8356,-0.8581,0.0093,0.0093
"{'n_len': 50, 'atr_multiplier': 1.0}",5402,59629.0000,-0.1925,-2.1899,-53.8438,41.4165,97810.1386,170827.6851,1525.6092,34.9230,-3.4438,40.3901,-2.6352,-0.1738,-0.0318,-24.5234,0.5146,-21.2774,28.5801,43.6842,-16.6253,-1.8730,1.1339,-0.1586,-0.9475,-6.3471,0.0398,0.0398
"{'n_len': 35, 'atr_multiplier': 1.5}",5402,55750.0000,-0.1938,-1.0120,-54.4765,42.6577,98988.0360,173516.7800,1445.4610,36.0981,-3.4047,56.4704,-2.6656,-0.1722,-0.0330,-24.5490,0.5265,-21.1410,30.4700,44.4944,-17.9037,-1.8584,1.1881,0.0502,-0.8729,-0.6069,0.0405,0.0405
"{'n_len': 10, 'atr_multiplier': 2.0}",5402,30231.0000,-0.1998,-2.6748,-57.0265,50.3266,97325.2177,179318.7696,760.4691,39.1827,-3.4741,4797.5036,-2.9027,-0.1714,-0.0228,-32.2605,0.6056,-22.6371,31.1975,35.7123,-22.3348,-3.8858,1.3236,-1.2490,-1.0915,-1.8968,0.0093,0.0093
"{'n_len': 55, 'atr_multiplier': 1.0}",5402,56655.0000,-0.2015,-3.8437,-53.6939,40.7735,96156.2561,169371.0035,1438.3900,35.5634,-3.7493,37.6093,-2.8274,-0.1876,-0.0371,-26.6807,0.5100,-21.2406,28.1560,41.8993,-16.6511,-2.0842,1.1107,-0.3858,-1.0039,-0.7097,,
"{'n_len': 25, 'atr_multiplier': 3.5}",5402,13595.0000,-0.2061,-4.4304,-56.0051,45.0147,95569.5845,173913.5304,328.8637,46.6353,-3.9539,40.4797,-3.1411,-0.1904,-0.0403,-40.0677,0.5917,-24.2638,24.0941,10.9064,-22.9437,-9.8855,1.0969,-7.6628,-2.7814,-5.7781,,
