params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion
"{'osc_len': 15, 'smth_len': 30, 'trail_len': 7, 'trail_mult': 12.0}",5400,29076,0.035532118548680325,5.801992484398466,-12.588553333266013,545 days 19:05:52,6.430587897072749,105801.99248439846,116859.00734373846,833.2281619951307,15.577221331385546,3.634553685982882,14.379649432403896,2.2046608927804408,0.8182306534543977,0.7595592010434528,4.77157400952415,0.06984191708347919,-8.068002524466387,317 days 04:01:09.436201780,208 days 01:58:02.492581602,47.24256035190926,11.930601809509332,-5.698573899184756,0.9907148185196465,8 days 19:55:51.585976627,5 days 16:43:00.300500834,4.236992629357552,1.261005084163636,0.07823861355719525,-0.3043800313094112
"{'osc_len': 15, 'smth_len': 15, 'trail_len': 3, 'trail_mult': 10.0}",5400,59830,0.031356239260853895,7.767358347692602,-18.405554420638598,545 days 19:05:52,12.919365883905988,107767.35834769259,122572.93439872583,1692.619017321736,15.57722133138555,4.80310277268229,20.449029448197436,2.8365329909620307,0.6454845436293298,0.6060902073981633,6.004789149078091,0.12621764095026033,-13.27766452915033,332 days 09:38:08,243 days 14:50:24,41.894957683928276,18.887523456418965,-6.6322034445512275,0.6501986855220933,10 days 17:22:08,5 days 16:06:08,2.1026002483402397,0.9430693144648393,0.05263423821628463,-0.08555475367871682
"{'osc_len': 15, 'smth_len': 15, 'trail_len': 3, 'trail_mult': 12.0}",5400,59687,0.028296013785425678,7.562146940713111,-18.52144073017887,545 days 19:05:52,12.889185799019769,107562.14694071311,122229.01270967307,1683.0168055007641,15.57722133138555,4.678422485147196,20.424388899795854,2.7591083596226493,0.6530498093548032,0.6176398289750213,5.79692472678942,0.1263616020083526,-13.43676242184046,335 days 13:07:44,246 days 10:37:36,41.95237686998308,18.7996275909409,-6.6867567987791885,0.6391684691429996,10 days 17:41:52,5 days 16:04:00,2.0547946056545214,0.9313502494631436,0.04816200973986616,-0.08159913546501942
"{'osc_len': 21, 'smth_len': 30, 'trail_len': 5, 'trail_mult': 12.0}",5400,31327,0.02380449504097328,5.286209173703628,-13.225395442761165,545 days 19:05:52,6.898495112820685,105286.20917370364,116558.23310649201,893.4526665643672,15.57722133138555,3.2796063491586547,14.517111151079066,1.9684787546266032,0.7660489149830132,0.7295010014573777,4.277355009362296,0.07169966330627406,-8.429940873725876,319 days 04:13:32.170686456,208 days 09:04:28.497217068,47.81749713555243,11.679837121726743,-5.979549123918397,0.8598407828290606,8 days 23:34:52.930042679,5 days 16:27:04.642790870,5.053878606266987,1.1115571804776894,0.0376633208286421,-0.30328322551558
"{'osc_len': 21, 'smth_len': 30, 'trail_len': 3, 'trail_mult': 10.0}",5400,44539,0.02090530443087071,6.079389880096542,-17.482343929279708,545 days 19:05:52,9.859562795953085,106079.38988009655,120215.89970848733,1255.9288512282137,15.57722133138555,3.772627020905438,18.67605819161118,2.238084785967098,0.549815943478307,0.540009921528391,4.571201225508653,0.10878516620912301,-12.835533299970793,338 days 14:31:21.681792924,248 days 19:08:44.763845156,43.314702934076884,14.992704819817916,-6.3787717198257905,0.723900610070616,10 days 08:53:57.932950546,5 days 21:08:46.097425449,2.8019329711826644,0.9916843486571956,0.021035312924287564,-0.16973028208914237
"{'osc_len': 21, 'smth_len': 21, 'trail_len': 5, 'trail_mult': 15.0}",5400,31963,0.019120817206575828,5.507076043936845,-13.998869879131073,545 days 19:05:52,6.9572563800095395,105507.07604393685,117376.85174437755,910.7651724134669,15.57722133138555,3.3908063696051878,15.388897935676553,2.029376085457863,0.7103881831389098,0.6455558969360299,4.412527378838606,0.07876737787903289,-9.964947939718465,332 days 10:22:15.311572700,241 days 04:35:36.498516320,45.385254083083794,12.581843498410946,-6.101985037614512,0.8568693544442617,9 days 08:16:01.602671118,5 days 16:56:05.609348914,3.86777885817686,1.1311890504162818,0.010243470530638094,-0.34814800722243117
"{'osc_len': 21, 'smth_len': 30, 'trail_len': 3, 'trail_mult': 12.0}",5400,44051,0.016386755670399152,5.805663186930384,-17.39295438220895,545 days 19:05:52,9.777938726023072,105805.66318693037,119808.54904089168,1240.0614497001063,15.57722133138555,3.598635582019632,18.494670163911334,2.1343507284405567,0.5215613653902118,0.5149748527249245,4.313035945064797,0.10710052424648038,-12.800245552355316,343 days 14:02:33.361733656,253 days 01:41:37.129097980,43.42064394620423,14.68098777670173,-6.374839518121678,0.7047606671293358,10 days 04:28:18.981292832,5 days 20:47:09.857380996,2.8724080463289785,0.9683248436314186,0.022087697644231782,-0.16989136511824293
"{'osc_len': 15, 'smth_len': 21, 'trail_len': 7, 'trail_mult': 12.0}",5400,30977,0.010378067624796672,5.791886098492679,-13.490104286119779,545 days 19:05:52,6.709401551801256,105791.88609849267,117125.07126677156,879.6679828656593,15.57722133138555,3.6117935966827748,15.466347123551548,2.1723386288974074,0.7278763668805901,0.7015074204617111,4.710845427413182,0.07970987536398451,-9.712526443243513,329 days 03:26:53.793103448,241 days 14:59:55.995550612,45.0076524830836,12.897773929534127,-5.825760508456597,0.9168649709540949,9 days 09:52:30.083441498,5 days 16:10:35.490450584,4.122713382238659,1.2036063502174932,-0.010543506845848667,-0.47632996220861484
"{'osc_len': 21, 'smth_len': 15, 'trail_len': 7, 'trail_mult': 10.0}",5400,32732,0.004301763381779764,5.717683921733256,-14.027998008050611,545 days 19:05:52,7.079248802081071,105717.68392173326,117460.24070593707,928.6177871383555,15.57722133138555,3.5457348461772233,15.82884276757259,2.121068946165301,0.720883078956152,0.7022417713994993,4.596056004918421,0.08283686948027467,-10.101986410110284,330 days 10:56:35.067680328,242 days 01:19:02.147227888,44.91004996569826,13.057020451398389,-5.9463980675150925,0.866155894864622,9 days 16:30:11.018363939,5 days 17:10:47.078464106,4.2209002863316725,1.1473850674057116,-0.0598538905508757,-0.39791996065796165
"{'osc_len': 15, 'smth_len': 30, 'trail_len': 7, 'trail_mult': 15.0}",5400,27635,-0.005179842147378646,4.796528118519786,-12.44675107294147,545 days 19:05:52,6.117247254686216,104796.52811851978,115864.95622156824,788.4876474189622,15.57722133138555,2.95428089022901,13.842770549953032,1.7685110305897218,0.7219583241680894,0.6865070618706608,3.8070726877022847,0.06654317349337407,-8.088369965208221,319 days 10:35:29.427035044,213 days 21:02:10.168737252,46.56238498614681,11.176369815451269,-5.682965874697104,0.8571212295779819,8 days 14:11:01.101836394,5 days 15:43:58.397328881,4.632930476610217,1.1180652808244156,-0.004855303518347839,-0.39403253646162645
